semantic_feature,group,constant,max_abs_pearson_r,closest_raw_feature,r
sem_NoEstablishedCardHistory,semantic_objects,0,0.07288622385505461,raw_has_identity,0.07288622385505461
sem_AmountRegime,semantic_objects,0,0.0771848950326232,raw_has_identity,-0.0771848950326232
sem_TempoRegime,semantic_objects,0,0.06770458861611259,raw_has_identity,-0.06770458861611259
sem_DeviceRegime,semantic_objects,0,0.21091857454190271,raw_has_identity,0.21091857454190271
sem_ChannelRegime,semantic_objects,0,0.29100933651291433,raw_has_identity,-0.29100933651291433
sem_FirstDeviceContact,semantic_objects,0,0.2428770335887339,raw_has_identity,0.2428770335887339
sem_RecentlyLinkedDevice,semantic_objects,0,0.296235829838245,raw_has_identity,0.296235829838245
sem_EstablishedDeviceRelationship,semantic_objects,0,0.7966573406255375,raw_has_identity,0.7966573406255375
sem_NonInformativeDeviceNovelty,semantic_objects,0,0.22823255606013076,raw_has_identity,0.22823255606013076
sem_RoutineSpendingAmount,semantic_objects,0,0.45264117881634164,raw_amount,-0.45264117881634164
sem_ExpectedHighValueSpend,semantic_objects,0,0.4884734808136598,raw_amount,0.4884734808136598
sem_UnexpectedSpendingAmount,semantic_objects,0,0.24275649186906112,raw_amount,0.24275649186906112
sem_UnscaledSpendingAmount,semantic_objects,0,0.07288622385505461,raw_has_identity,0.07288622385505461
sem_MinimalTestAmount,semantic_objects,0,0.03634835693528053,raw_has_identity,0.03634835693528053
sem_UnexpectedBillingRegion,semantic_objects,0,0.04564335513329311,raw_has_identity,0.04564335513329311
sem_TempoRegimeShift,semantic_objects,0,0.12421350041049897,raw_has_identity,0.12421350041049897
sem_UnverifiedDeviceContext,semantic_objects,0,0.9999999999999895,raw_has_identity,-0.9999999999999895
sem_SharedClientSignatureExposure,semantic_objects,0,0.7476330149905078,raw_has_identity,0.7476330149905078
sem_CoverageGap,semantic_objects,1,0.0,,0.0
beh_CardTestingBehaviour,behaviours,0,0.027818591276776748,raw_has_identity,0.027818591276776748
beh_DeviceRotationBehaviour,behaviours,0,0.008198212971447308,raw_has_identity,0.008198212971447308
beh_VelocityBurstBehaviour,behaviours,0,0.09376270159772077,raw_has_identity,0.09376270159772077
beh_CompromisedCardBehaviour,behaviours,0,0.05022066220931273,raw_has_identity,0.05022066220931273
beh_UnexpectedSpendingBehaviour,behaviours,0,0.11291068276993814,raw_has_identity,0.11291068276993814
beh_DormantCardReactivation,behaviours,0,0.036620547230675815,raw_has_identity,0.036620547230675815
beh_TrustedDeviceBehaviour,behaviours,0,0.7314724751713809,raw_has_identity,0.7314724751713809
beh_NormalSpendingBehaviour,behaviours,0,0.1405313634036778,raw_has_identity,-0.1405313634036778
beh_ExpectedVelocityBehaviour,behaviours,0,0.0034082411307971806,raw_has_identity,-0.0034082411307971806
beh_InsufficientCardHistory,behaviours,0,0.07288622385505461,raw_has_identity,0.07288622385505461
scn_CardTestingRun,scenarios,0,0.033884221796970405,raw_has_identity,0.033884221796970405
scn_DeviceTakeoverPattern,scenarios,0,0.03553610131787606,raw_has_identity,0.03553610131787606
scn_RoutineConsumerPattern,scenarios,0,0.19032187441342,raw_has_identity,-0.19032187441342
scn_DormancyAfterBurst,scenarios,0,0.019902964044411643,raw_has_identity,0.019902964044411643
scn_DeviceRotationRun,scenarios,0,0.11619628368899333,raw_has_identity,0.11619628368899333
role_code,roles,0,0.04875541430506701,raw_has_identity,0.04875541430506701
role_confidence,roles,0,0.06339231834452244,raw_has_identity,-0.06339231834452244
role_tenure_minutes,roles,0,0.02460441339599229,raw_has_identity,-0.02460441339599229
role_transition_count,roles,0,0.03414531424063253,raw_transaction_dt,0.03414531424063253
lifecycle_age_minutes,lifecycle,0,0.4353819753771259,raw_transaction_dt,0.4353819753771259
lifecycle_idle_minutes,lifecycle,0,0.06487357929275449,raw_has_identity,0.06487357929275449
lifecycle_observed_events,lifecycle,0,0.038390737910217354,raw_transaction_dt,0.038390737910217354
lifecycle_distinct_devices,lifecycle,0,0.42576039379789554,raw_has_identity,0.42576039379789554
lifecycle_buckets_active,lifecycle,0,0.06717436090383408,raw_transaction_dt,0.06717436090383408
lifecycle_horizons_filled,lifecycle,0,0.0536464045001761,raw_has_identity,-0.0536464045001761
evidence_risk_count,evidence,0,0.1902994328532314,raw_has_identity,0.1902994328532314
evidence_mitigation_count,evidence,0,0.6146518755408373,raw_has_identity,0.6146518755408373
evidence_conflict_count,evidence,0,0.22336236197936468,raw_has_identity,0.22336236197936468
evidence_unqualified_topics,evidence,0,0.1606012202056613,raw_amount,0.1606012202056613
evidence_effective_risk,evidence,0,0.20312141643334763,raw_amount,0.20312141643334763
evidence_strongest_risk,evidence,0,0.13726946685101418,raw_has_identity,0.13726946685101418
